"income","exam","languageStatus","colour"
33510.93,69.5,"L2","red"
39291.16,79.5,"L1","blue"
34795.81,76.2,"L2","red"
39500.86,70,"L1","blue"
27194.26,56.6,"L2","red"
31927.94,55.9,"L1","blue"
23001.89,51.3,"L2","red"
39934.44,68.6,"L1","blue"
26737.73,78.8,"L2","red"
27856.14,53.2,"L1","blue"
28886.13,46.6,"L2","red"
33534.62,66.9,"L1","blue"
21317.39,52.1,"L2","red"
33013.05,70.2,"L1","blue"
20287.37,79.9,"L2","red"
38491.67,66,"L1","blue"
37617.23,71.1,"L2","red"
26034.27,67.5,"L1","blue"
26881.66,59.6,"L2","red"
30677.95,69,"L1","blue"
19777.34,61.6,"L2","red"
35051.31,61,"L1","blue"
38237.56,59.8,"L2","red"
28046.44,76.8,"L1","blue"
25485.22,36.1,"L2","red"
45439.08,86.7,"L1","blue"
24951.57,61.4,"L2","red"
38428.83,58.5,"L1","blue"
29307.92,56.2,"L2","red"
49039.58,80.2,"L1","blue"
28964.66,83.3,"L2","red"
31002.99,67.1,"L1","blue"
31877.75,70.1,"L2","red"
37348.15,49.9,"L1","blue"
24505.74,73.2,"L2","red"
32265.29,62.6,"L1","blue"
28807.77,49.8,"L2","red"
26950.17,30.4,"L1","blue"
26367.31,72,"L2","red"
33499.78,72.6,"L1","blue"
26174.79,82.8,"L2","red"
31209.89,48.7,"L1","blue"
27703.91,53.8,"L2","red"
34036.23,65.8,"L1","blue"
28736.19,56.4,"L2","red"
43494.61,66.9,"L1","blue"
26766.9,63.6,"L2","red"
32175.65,69.6,"L1","blue"
17254.3,63.1,"L2","red"
34934.62,70.5,"L1","blue"
32958.61,82.7,"L2","red"
35997.35,62.4,"L1","blue"
30489.77,50.4,"L2","red"
35179.08,60,"L1","blue"
31232.25,66.5,"L2","red"
32057.33,52.4,"L1","blue"
26733.58,59.2,"L2","red"
40982.71,93.1,"L1","blue"
30033.64,65.3,"L2","red"
33428.3,69,"L1","blue"
33827.57,64.9,"L2","red"
29710.91,57.4,"L1","blue"
18634.86,60,"L2","red"
32683.18,61,"L1","blue"
26890.26,74.8,"L2","red"
41526.11,76.8,"L1","blue"
28294.81,71.2,"L2","red"
34912.54,56,"L1","blue"
30507.72,65.6,"L2","red"
35826.75,59.8,"L1","blue"
23984.86,53.5,"L2","red"
26352.83,43.6,"L1","blue"
25656.58,83.6,"L2","red"
40769.33,66.2,"L1","blue"
26854.07,70.8,"L2","red"
33185.59,73.9,"L1","blue"
30132.38,70.7,"L2","red"
31690.58,52.7,"L1","blue"
28093.57,80,"L2","red"
44548.78,89.3,"L1","blue"
27383.29,69.1,"L2","red"
35283.17,66.1,"L1","blue"
24193.81,55,"L2","red"
41936.11,71.8,"L1","blue"
32902.17,51,"L2","red"
32985.8,68.2,"L1","blue"
25465.62,38.6,"L2","red"
34138.71,52.9,"L1","blue"
30585.65,75.4,"L2","red"
37733.11,65.8,"L1","blue"
27758.26,68.1,"L2","red"
39850.31,59.1,"L1","blue"
29208.31,54.4,"L2","red"
42861.29,78.4,"L1","blue"
24862.32,80.3,"L2","red"
35071.72,49.4,"L1","blue"
24474.95,66.5,"L2","red"
37629.39,78.9,"L1","blue"
29716.79,73.5,"L2","red"
27597.66,48.1,"L1","blue"
24199.59,52,"L2","red"
37653.06,75,"L1","blue"
22950.07,63.1,"L2","red"
34155.6,83.4,"L1","blue"
32975.32,67,"L2","red"
25692.3,47.4,"L1","blue"
32840.91,59.4,"L2","red"
