"pseudonym","DurationLearning","GuessingType","Trial","DurationGuess","TrialFactor"
"WarwickB31","NoFeedback","overestimator",1,10.6,"1.one"
"WarwickB31","NoFeedback","overestimator",2,11.08,"2.two"
"WarwickB31","NoFeedback","overestimator",3,11.53,"3.three"
"WarwickB31","NoFeedback","overestimator",4,11.01,"4.four"
"WarwickB31","NoFeedback","overestimator",5,11.21,"5.five"
"WarwickB37","NoFeedback","underestimator",1,8.82,"1.one"
"WarwickB37","NoFeedback","underestimator",2,10.58,"2.two"
"WarwickB37","NoFeedback","underestimator",3,11.53,"3.three"
"WarwickB37","NoFeedback","underestimator",4,12.05,"4.four"
"WarwickB37","NoFeedback","underestimator",5,9.45,"5.five"
