"pseudonym","cowGuess1","cowProx","oculusGuess","bigBenGuess","seenBen","order","peanutGuess","appleGuess","GangnamRating","background","guessConf","population","iteration","gangnamNum"
"warwickY6",700,"4:6mths",50,100,"Yes","OculusFirst",NA,NA,"2- It's bearable, but not exactly enjoyable.","UK","2-notVeryConfident","ET215","B",2
"warwickY8",200,"3:<2yrs",15,400,"Yes","OculusFirst",NA,NA,"1- PLEASE, NO, NOT THIS SONG.","UK","2-notVeryConfident","ET215","B",1
"warwickY9",1000,"1:never",30,300,"No","BigBenFirst",NA,NA,"1- PLEASE, NO, NOT THIS SONG.","Non-UK","2-notVeryConfident","ET215","B",1
"WarwickZ1",220,"4:6mths",75,250,"Yes","BigBenFirst",82,80,"1- PLEASE, NO, NOT THIS SONG.","UK","2-notVeryConfident","ET215","C",1
"WarwickZ10",170,"2:2+Years",70,450,"Yes","BigBenFirst",73,35,"1- PLEASE, NO, NOT THIS SONG.","UK","1-particularlyBad","ET215","C",1
"WarwickZ11",380,"3:<2yrs",14,70,"No","OculusFirst",38,600,"2- It's bearable, but not exactly enjoyable.","Non-UK","2-notVeryConfident","ET215","C",2
"WarwickZ12",100,"2:2+Years",10,14,"Yes","BigBenFirst",88,2000,"4- I like it, in the right context.","Non-UK","3-average","ET215","C",4
"WarwickZ13",300,"3:<2yrs",15,100,"Yes","BigBenFirst",154,500,"4- I like it, in the right context.","UK","3-average","ET215","C",4
"WarwickZ14",225,"3:<2yrs",75,500,"Yes","BigBenFirst",120,90,"1- PLEASE, NO, NOT THIS SONG.","UK","1-particularlyBad","ET215","C",1
"WarwickZ15",450,"4:6mths",22,24,"Yes","OculusFirst",175,2500,"1- PLEASE, NO, NOT THIS SONG.","UK","3-average","ET215","C",1
"WarwickZ16",200,"4:6mths",15,70,"No","OculusFirst",130,1000,"4- I like it, in the right context.","Non-UK","2-notVeryConfident","ET215","C",4
"WarwickZ17",300,"4:6mths",50,80,"Yes","BigBenFirst",36,2500,"4- I like it, in the right context.","UK","2-notVeryConfident","ET215","C",4
"WarwickZ18",125,"3:<2yrs",60,400,"Yes","OculusFirst",55,900,"2- It's bearable, but not exactly enjoyable.","Non-UK","2-notVeryConfident","ET215","C",2
"WarwickZ19",350,"2:2+Years",15,35,"I don't remember","BigBenFirst",100,400,"1- PLEASE, NO, NOT THIS SONG.","Non-UK","1-particularlyBad","ET215","C",1
"WarwickZ2",300,"3:<2yrs",40,250,"No","BigBenFirst",145,450,"2- It's bearable, but not exactly enjoyable.","UK","3-average","ET215","C",2
"WarwickZ20",500,"2:2+Years",38,160,"No","BigBenFirst",103,500,"4- I like it, in the right context.","Non-UK","4-good","ET215","C",4
"WarwickZ21",1350,"2:2+Years",43,90,"Yes","OculusFirst",123,760,"4- I like it, in the right context.","Non-UK","1-particularlyBad","ET215","C",4
"WarwickZ3",300,"3:<2yrs",60,100,"Yes","BigBenFirst",114,500,"4- I like it, in the right context.","UK","3-average","ET215","C",4
"WarwickZ4",145,"2:2+Years",40,110,"Yes","BigBenFirst",1411,1860,"1- PLEASE, NO, NOT THIS SONG.","UK","3-average","ET215","C",1
"WarwickZ5",200,"4:6mths",500,1250,"Yes","BigBenFirst",85,750,"2- It's bearable, but not exactly enjoyable.","UK","3-average","ET215","C",2
"WarwickZ6",600,"2:2+Years",500,150,"I don't remember","BigBenFirst",55,700,"4- I like it, in the right context.","UK","2-notVeryConfident","ET215","C",4
"WarwickZ7",400,"4:6mths",50,350,"Yes","BigBenFirst",116,1000,"2- It's bearable, but not exactly enjoyable.","UK","3-average","ET215","C",2
"WarwickZ8",115,"2:2+Years",60,100,"Yes","BigBenFirst",69,40,"1- PLEASE, NO, NOT THIS SONG.","Non-UK","2-notVeryConfident","ET215","C",1
"WarwickZ9",250,"1:never",16,120,"Yes","BigBenFirst",150,700,"4- I like it, in the right context.","Non-UK","2-notVeryConfident","ET215","C",4
