"portionsEaten","group","foodCondition","participant"
4,"VILLAIN","raw","Villain43"
5,"HOBBIT","cooked","Hobbit72"
1,"HOBBIT","raw","Hobbit38"
0,"HOBBIT","raw","Hobbit26"
8,"HOBBIT","cooked","Hobbit46"
3,"HOBBIT","raw","Hobbit55"
1,"HOBBIT","cooked","Hobbit6"
3,"VILLAIN","raw","Villain40"
8,"VILLAIN","raw","Villain68"
6,"VILLAIN","raw","Villain90"
0,"VILLAIN","cooked","Villain51"
0,"VILLAIN","cooked","Villain64"
6,"VILLAIN","raw","Villain83"
7,"HOBBIT","cooked","Hobbit79"
9,"HOBBIT","cooked","Yolo"
4,"VILLAIN","raw","Villain23"
4,"HOBBIT","raw","Hobbit90"
4,"HOBBIT","cooked","Hobbit11"
5,"VILLAIN","raw","Villain62"
1,"HOBBIT","cooked","Hobbit22"
1,"HOBBIT","cooked","Hobbit54"
6,"HOBBIT","cooked","Hobbit15"
4,"HOBBIT","cooked","Hobbit69"
3,"VILLAIN","raw","Villain11"
0,"HOBBIT","raw","Hobbit29"
4,"HOBBIT","cooked","Hobbit13"
0,"HOBBIT","raw","Hobbit25"
6,"HOBBIT","cooked","Hobbit87"
1,"HOBBIT","raw","Hobbit78"
6,"VILLAIN","raw","Villain36"
1,"VILLAIN","cooked","Villain15"
4,"HOBBIT","cooked","Merry"
4,"VILLAIN","raw","Gollum"
1,"HOBBIT","raw","Hobbit42"
1,"HOBBIT","raw","Hobbit59"
5,"VILLAIN","raw","Villain49"
2,"VILLAIN","cooked","Villain91"
1,"HOBBIT","raw","Hobbit92"
0,"HOBBIT","raw","Hobbit91"
0,"HOBBIT","raw","Hobbit68"
4,"HOBBIT","cooked","Frodo"
1,"VILLAIN","cooked","Villain87"
1,"HOBBIT","raw","Hobbit67"
5,"VILLAIN","raw","Villain82"
0,"HOBBIT","raw","Hobbit47"
1,"VILLAIN","cooked","Villain19"
4,"VILLAIN","raw","Villain67"
1,"VILLAIN","cooked","Villain37"
0,"VILLAIN","cooked","Villain56"
1,"HOBBIT","raw","Hobbit45"
2,"VILLAIN","cooked","Villain32"
2,"VILLAIN","cooked","Villain70"
2,"HOBBIT","raw","Bilbo"
1,"VILLAIN","cooked","Villain34"
6,"VILLAIN","raw","Villain45"
2,"VILLAIN","cooked","Villain6"
3,"VILLAIN","cooked","Villain73"
5,"HOBBIT","cooked","Hobbit10"
0,"HOBBIT","raw","Hobbit21"
3,"HOBBIT","cooked","Hobbit93"
4,"VILLAIN","raw","Villain47"
3,"VILLAIN","raw","Villain35"
8,"VILLAIN","raw","Villain12"
0,"VILLAIN","raw","Villain48"
1,"HOBBIT","cooked","Hobbit71"
1,"VILLAIN","raw","Villain16"
0,"VILLAIN","cooked","Gorbag"
3,"HOBBIT","raw","Hobbit51"
0,"HOBBIT","raw","Hobbit16"
3,"HOBBIT","cooked","Hobbit43"
2,"VILLAIN","raw","Villain54"
6,"HOBBIT","cooked","Hobbit8"
4,"HOBBIT","cooked","Hobbit81"
2,"HOBBIT","raw","Hobbit48"
3,"VILLAIN","raw","Villain18"
0,"HOBBIT","raw","Hobbit76"
5,"HOBBIT","cooked","Hobbit3"
6,"HOBBIT","cooked","Hobbit20"
1,"VILLAIN","cooked","Villain29"
7,"VILLAIN","raw","Villain41"
6,"HOBBIT","cooked","Hobbit12"
1,"HOBBIT","raw","Hobbit75"
2,"VILLAIN","cooked","Villain93"
1,"VILLAIN","cooked","Shagrat"
8,"HOBBIT","cooked","Hobbit85"
4,"HOBBIT","cooked","Hobbit50"
0,"VILLAIN","cooked","Villain44"
1,"HOBBIT","raw","Samwise"
5,"HOBBIT","cooked","Hobbit83"
6,"VILLAIN","raw","Villain31"
2,"HOBBIT","raw","Hobbit28"
1,"VILLAIN","cooked","Villain52"
