"ID","income","exam","languageStatus","gender","education"
"s174",27383.29,69.1,"L2","F","BA"
"s85",27449.62,53.7,"L1","F","BA"
"s193",27597.66,48.1,"L1","F","MA"
"s87",27631.96,69.2,"L1","F","BA"
"s136",27703.91,53.8,"L2","M","BA"
"s184",27758.26,68.1,"L2","F","BA"
"s16",27809.28,81.5,"L2","F","BA"
"s103",27856.14,53.2,"L1","M","MA"
"s80",27862.69,76.5,"L2","F","BA"
"s117",28046.44,76.8,"L1","M","BA"
"s172",28093.57,80,"L2","F","BA"
"s160",28294.81,71.2,"L2","F","MA"
"s79",28320.7,62.9,"L1","F","BA"
"s18",28529.35,80.3,"L2","F","BA"
"s138",28736.19,56.4,"L2","M","MA"
"s130",28807.77,49.8,"L2","M","MA"
"s104",28886.13,46.6,"L2","M","MA"
"s124",28964.66,83.3,"L2","M","MA"
"s186",29208.31,54.4,"L2","F","MA"
"s122",29307.92,56.2,"L2","M","BA"
"s8",29350.83,70.8,"L2","F","BA"
"s46",29445.42,58.5,"L2","F","BA"
"s155",29710.91,57.4,"L1","F","BA"
"s192",29716.79,73.5,"L2","F","MA"
"s54",29892.94,53.9,"L2","F","MA"
"s152",30033.64,65.3,"L2","F","BA"
"s170",30132.38,70.7,"L2","F","PhD"
"s31",30134.04,55,"L1","F","BA"
"s72",30170.4,54.2,"L2","F","BA"
"s1",30203,70.9,"L1","M","BA"
"s60",30346.03,63.4,"L2","F","BA"
"s33",30442.49,62.5,"L1","F","PhD"
"s146",30489.77,50.4,"L2","M","MA"
"s162",30507.72,65.6,"L2","F","BA"
"s182",30585.65,75.4,"L2","M","BA"
"s29",30607.61,58.2,"L1","F","BA"
"s28",30636.91,77.4,"L2","M","BA"
"s82",30637.49,74.9,"L2","F","BA"
"s113",30677.95,69,"L1","M","PhD"
"s23",30770.53,69.9,"L1","F","BA"
"s24",30812.17,66.6,"L2","F","BA"
"s12",30877.46,66.4,"L2","M","MA"
"s68",30885.93,59.5,"L2","M","MA"
"s43",31000.18,68,"L1","F","BA"
"s125",31002.99,67.1,"L1","M","BA"
"s135",31209.89,48.7,"L1","M","BA"
"s62",31225.61,73.4,"L2","F","BA"
"s148",31232.25,66.5,"L2","M","MA"
"s52",31579.04,49.1,"L2","M","BA"
"s20",31601.22,69.9,"L2","F","BA"
"s171",31690.58,52.7,"L1","F","PhD"
"s126",31877.75,70.1,"L2","M","BA"
"s81",31914.45,73.6,"L1","F","MA"
"s99",31927.94,55.9,"L1","F","PhD"
"s149",32057.33,52.4,"L1","M","BA"
"s59",32085.17,52.9,"L1","F","BA"
"s141",32175.65,69.6,"L1","M","BA"
"s129",32265.29,62.6,"L1","M","MA"
"s34",32300.56,56.9,"L2","F","BA"
"s39",32459.63,65.7,"L1","F","BA"
"s157",32683.18,61,"L1","M","BA"
"s6",32684.68,72.5,"L2","F","MA"
"s200",32840.91,59.4,"L2","F","BA"
"s178",32902.17,51,"L2","M","BA"
"s144",32958.61,82.7,"L2","M","MA"
"s49",32962.02,54.1,"L1","F","BA"
"s198",32975.32,67,"L2","F","BA"
"s179",32985.8,68.2,"L1","M","BA"
"s107",33013.05,70.2,"L1","M","BA"
"s10",33069.76,54.7,"L2","M","BA"
"s45",33164.69,58.2,"L1","F","BA"
"s169",33185.59,73.9,"L1","M","BA"
"s73",33216.08,46.3,"L1","F","MA"
"s69",33282.51,45.1,"L1","F","BA"
"s50",33337.95,61.1,"L2","F","BA"
"s153",33428.3,69,"L1","M","MA"
"s133",33499.78,72.6,"L1","M","BA"
"s94",33510.93,69.5,"L2","M","BA"
"s105",33534.62,66.9,"L1","M","PhD"
"s56",33661.95,68.8,"L2","F","BA"
"s154",33827.57,64.9,"L2","M","BA"
"s137",34036.23,65.8,"L1","M","BA"
"s65",34059.62,59.9,"L1","F","BA"
"s51",34093.61,76,"L1","F","BA"
"s2",34102.63,66.9,"L2","F","MA"
"s181",34138.71,52.9,"L1","M","MA"
"s197",34155.6,83.4,"L1","M","BA"
"s86",34241.1,60.2,"L2","F","BA"
"s38",34344.41,69.9,"L2","F","BA"
"s22",34406.72,51,"L2","F","BA"
"s26",34598.18,58.5,"L2","F","MA"
"s89",34605.29,43.1,"L1","F","BA"
"s96",34795.81,76.2,"L2","F","BA"
"s161",34912.54,56,"L1","M","MA"
"s143",34934.62,70.5,"L1","M","PhD"
"s115",35051.31,61,"L1","M","BA"
"s189",35071.72,49.4,"L1","M","BA"
"s75",35165.74,62.7,"L1","F","BA"
"s147",35179.08,60,"L1","M","BA"
"s175",35283.17,66.1,"L1","M","BA"
"s42",35392.58,75.9,"L2","F","PhD"
"s67",35487.27,67.5,"L1","F","MA"
"s40",35603.87,75,"L2","F","BA"
"s71",35714.39,55.6,"L1","F","BA"
"s35",35781.78,83.4,"L1","F","BA"
"s163",35826.75,59.8,"L1","M","PhD"
"s145",35997.35,62.4,"L1","F","MA"
"s32",36158.32,82.7,"L2","F","BA"
"s25",36162.22,75.1,"L1","F","BA"
"s30",36242.54,92.7,"L2","F","MA"
"s4",36332.64,70,"L2","F","BA"
"s63",36605.05,61.8,"L1","F","MA"
"s27",36824.31,62.3,"L1","F","MA"
"s5",36959.22,66.3,"L1","F","PhD"
"s127",37348.15,49.9,"L1","M","MA"
"s110",37617.23,71.1,"L2","M","BA"
"s191",37629.39,78.9,"L1","F","BA"
"s195",37653.06,75,"L1","M","BA"
"s91",37693.94,74.4,"L1","F","PhD"
"s183",37733.11,65.8,"L1","M","BA"
"s19",37770.71,69.2,"L1","M","MA"
"s15",38088.65,71.2,"L1","M","PhD"
"s93",38113.32,58.7,"L1","F","BA"
"s53",38208.54,91,"L2","F","MA"
"s77",38218.88,80.5,"L1","F","BA"
"s116",38237.56,59.8,"L2","M","PhD"
"s37",38260.28,66.9,"L1","F","BA"
"s41",38317.21,69.2,"L1","F","MA"
"s121",38428.83,58.5,"L1","M","MA"
"s58",38486.98,64,"L2","F","PhD"
"s109",38491.67,66,"L1","M","BA"
"s47",38924.5,72.9,"L1","F","BA"
"s95",39291.16,79.5,"L1","F","MA"
"s97",39500.86,70,"L1","F","MA"
"s61",39671.49,83,"L1","F","PhD"
"s185",39850.31,59.1,"L1","M","MA"
"s3",39912.46,75.9,"L1","F","PhD"
"s101",39934.44,68.6,"L1","M","MA"
"s167",40069.33,66.2,"L1","M","MA"
"s9",40958.34,79,"L2","F","MA"
"s151",40982.71,93.1,"L1","M","PhD"
"s159",41526.11,76.8,"L1","F","BA"
"s177",41936.11,71.8,"L1","M","BA"
"s88",42093.51,68.4,"L2","F","PhD"
"s187",42861.29,78.4,"L1","M","PhD"
"s21",42975.28,89.4,"L1","F","PhD"
"s11",43213.18,92.4,"L1","M","BA"
"s139",43494.61,66.9,"L1","M","BA"
"s173",44548.78,89.3,"L1","M","BA"
"s13",44808.54,76.3,"L1","M","PhD"
"s119",45439.08,86.7,"L1","M","PhD"
"s123",49039.58,80.2,"L2","M","PhD"
