"ID","income","languageStatus","gender","education"
"s127",37348.15,"L1","M","MA"
"s110",37617.23,"L2","M","BA"
"s191",37629.39,"L1","F","BA"
"s195",37653.06,"L1","M","BA"
"s91",37693.94,"L1","F","PhD"
"s183",37733.11,"L1","M","BA"
"s19",37770.71,"L1","M","MA"
"s15",38088.65,"L1","M","PhD"
"s93",38113.32,"L1","F","BA"
"s53",38208.54,"L2","F","MA"
"s77",38218.88,"L1","F","BA"
"s116",38237.56,"L2","M","PhD"
"s37",38260.28,"L1","F","BA"
"s41",38317.21,"L1","F","MA"
"s121",38428.83,"L1","M","MA"
"s58",38486.98,"L2","F","PhD"
"s109",38491.67,"L1","M","BA"
"s47",38924.5,"L1","F","BA"
"s95",39291.16,"L1","F","MA"
"s97",39500.86,"L1","F","MA"
"s61",39671.49,"L1","F","PhD"
"s185",39850.31,"L1","M","MA"
"s3",39912.46,"L1","F","PhD"
"s101",39934.44,"L1","M","MA"
"s167",40069.33,"L1","M","MA"
"s9",40958.34,"L2","F","MA"
"s151",40982.71,"L1","M","PhD"
"s159",41526.11,"L1","F","BA"
"s177",41936.11,"L1","M","BA"
"s88",42093.51,"L2","F","PhD"
"s187",42861.29,"L1","M","PhD"
"s21",42975.28,"L1","F","PhD"
"s11",43213.18,"L1","M","BA"
"s139",43494.61,"L1","M","BA"
"s173",44548.78,"L1","M","BA"
"s13",44808.54,"L1","M","PhD"
"s119",45439.08,"L1","M","PhD"
"s123",49039.58,"L2","M","PhD"
