"pseudonym","cowGuess1KG","cowProx","oculusGuess","bigBenGuess","seenBen","GangnamRating","peanutGuess","appleGuess","guessConf","order","background","iteration"
"warwickY9",1000,"1:never",30,300,"No","1- PLEASE, NO, NOT THIS SONG.",NA,NA,"2-notVeryConfident","BigBenFirst","Non-UK","B"
"WarwickZ1",220,"4:6mths",75,250,"Yes","1- PLEASE, NO, NOT THIS SONG.",82,80,"2-notVeryConfident","BigBenFirst","UK","C"
"WarwickZ10",170,"2:2+Years",70,450,"Yes","1- PLEASE, NO, NOT THIS SONG.",73,35,"1-particularlyBad","BigBenFirst","UK","C"
"WarwickZ11",380,"3:<2yrs",14,70,"No","2- It's bearable, but not exactly enjoyable.",38,600,"2-notVeryConfident","OculusFirst","Non-UK","C"
"WarwickZ12",100,"2:2+Years",10,14,"Yes","4- I like it, in the right context.",88,2000,"3-average","BigBenFirst","Non-UK","C"
"WarwickZ13",300,"3:<2yrs",15,100,"Yes","4- I like it, in the right context.",154,500,"3-average","BigBenFirst","UK","C"
"WarwickZ14",225,"3:<2yrs",75,500,"Yes","1- PLEASE, NO, NOT THIS SONG.",120,90,"1-particularlyBad","BigBenFirst","UK","C"
"WarwickZ15",450,"4:6mths",22,24,"Yes","1- PLEASE, NO, NOT THIS SONG.",175,2500,"3-average","OculusFirst","UK","C"
"WarwickZ16",200,"4:6mths",15,70,"No","4- I like it, in the right context.",130,1000,"2-notVeryConfident","OculusFirst","Non-UK","C"
"WarwickZ17",300,"4:6mths",50,80,"Yes","4- I like it, in the right context.",36,2500,"2-notVeryConfident","BigBenFirst","UK","C"
"WarwickZ18",125,"3:<2yrs",60,400,"Yes","2- It's bearable, but not exactly enjoyable.",55,900,"2-notVeryConfident","OculusFirst","Non-UK","C"
"WarwickZ19",350,"2:2+Years",15,35,"I don't remember","1- PLEASE, NO, NOT THIS SONG.",100,400,"1-particularlyBad","BigBenFirst","Non-UK","C"
"WarwickZ2",300,"3:<2yrs",40,250,"No","2- It's bearable, but not exactly enjoyable.",145,450,"3-average","BigBenFirst","UK","C"
"WarwickZ20",500,"2:2+Years",38,160,"No","4- I like it, in the right context.",103,500,"4-good","BigBenFirst","Non-UK","C"
"WarwickZ21",1350,"2:2+Years",43,90,"Yes","4- I like it, in the right context.",123,760,"1-particularlyBad","OculusFirst","Non-UK","C"
"WarwickZ3",300,"3:<2yrs",60,100,"Yes","4- I like it, in the right context.",114,500,"3-average","BigBenFirst","UK","C"
"WarwickZ4",145,"2:2+Years",40,110,"Yes","1- PLEASE, NO, NOT THIS SONG.",1411,1860,"3-average","BigBenFirst","UK","C"
"WarwickZ5",200,"4:6mths",500,1250,"Yes","2- It's bearable, but not exactly enjoyable.",85,750,"3-average","BigBenFirst","UK","C"
"WarwickZ6",600,"2:2+Years",500,150,"I don't remember","4- I like it, in the right context.",55,700,"2-notVeryConfident","BigBenFirst","UK","C"
"WarwickZ7",400,"4:6mths",50,350,"Yes","2- It's bearable, but not exactly enjoyable.",116,1000,"3-average","BigBenFirst","UK","C"
"WarwickZ8",115,"2:2+Years",60,100,"Yes","1- PLEASE, NO, NOT THIS SONG.",69,40,"2-notVeryConfident","BigBenFirst","Non-UK","C"
"WarwickZ9",250,"1:never",16,120,"Yes","4- I like it, in the right context.",150,700,"2-notVeryConfident","BigBenFirst","Non-UK","C"
