"participant"	"partnerRegCondition"	"partnerRegRate"	"age"	"gender"	"pretestReg"	"posttestReg"
"s6136"	"no.change"	0.462	36	"Female"	0.461538461538462	0.480769230769231
"s6137"	"no.change"	0.404	24	"Male"	0.403846153846154	0.384615384615385
"s6138"	"no.change"	0.385	24	"Male"	0.384615384615385	0.576923076923077
"s6139"	"no.change"	0.558	62	"Female"	0.557692307692308	0.461538461538462
"s6140"	"no.change"	0.5	31	"Female"	0.5	0.480769230769231
"s6141"	"no.change"	0.327	46	"Female"	0.326923076923077	0.288461538461538
"s6149"	"no.change"	0.462	40	"Male"	0.461538461538462	0.442307692307692
"s6150"	"no.change"	0.5	24	"Male"	0.5	0.653846153846154
"s6153"	"increase"	0.75	36	"Male"	0.538461538461538	0.634615384615385
"s6155"	"increase"	0.654	20	"Male"	0.461538461538462	0.307692307692308
"s6156"	"increase"	0.731	47	"Female"	0.519230769230769	0.903846153846154
"s6157"	"increase"	0.962	25	"Female"	0.692307692307692	0.5
"s6160"	"increase"	0.385	50	"Female"	0.269230769230769	0.557692307692308
"s6161"	"increase"	0.942	36	"Female"	0.673076923076923	1
"s6162"	"increase"	0.654	27	"Male"	0.461538461538462	0.5
"s6163"	"increase"	0.596	23	"Male"	0.423076923076923	0.692307692307692
"s6165"	"increase"	0.731	39	"Male"	0.519230769230769	0.538461538461538
"s6170"	"decrease"	0.25	36	"Female"	0.403846153846154	0.384615384615385
"s6171"	"decrease"	0.346	54	"Female"	0.576923076923077	0.769230769230769
"s6173"	"decrease"	0.327	22	"Female"	0.538461538461538	0.480769230769231
"s6176"	"decrease"	0.385	21	"Female"	0.634615384615385	0.653846153846154
"s6177"	"decrease"	0.423	24	"Male"	0.692307692307692	0.634615384615385
"s6179"	"decrease"	0.327	27	"Male"	0.538461538461538	0.519230769230769
"s6180"	"decrease"	0.365	38	"Female"	0.596153846153846	0.615384615384615
"s6182"	"decrease"	0.096	38	"Female"	0.153846153846154	0.0192307692307692
"s6183"	"increase"	0.788	21	"Male"	0.557692307692308	0.75
"s6184"	"decrease"	0.269	64	"Male"	0.442307692307692	0.461538461538462
"s6185"	"decrease"	0.288	28	"Male"	0.480769230769231	0.673076923076923
"s6186"	"decrease"	0.365	45	"Male"	0.615384615384615	0.307692307692308
"s6189"	"decrease"	0.135	21	"Female"	0.230769230769231	0.0192307692307692
"s6190"	"no.change"	0.404	40	"Female"	0.403846153846154	0.307692307692308
"s6191"	"increase"	0.923	26	"Female"	0.653846153846154	0.634615384615385
"s6192"	"increase"	0.75	27	"Male"	0.538461538461538	0.307692307692308
"s6194"	"increase"	0.942	33	"Female"	0.673076923076923	0.826923076923077
"s6195"	"no.change"	0.519	24	"Male"	0.519230769230769	1
"s6197"	"no.change"	0.692	60	"Female"	0.692307692307692	0.846153846153846
"s6200"	"increase"	0.885	28	"Male"	0.634615384615385	1
"s6204"	"decrease"	0.385	26	"Female"	0.653846153846154	0.442307692307692
"s6205"	"decrease"	0.25	25	"Female"	0.403846153846154	0.615384615384615
"s6207"	"decrease"	0.212	30	"Female"	0.365384615384615	0.480769230769231
"s6208"	"no.change"	0.462	25	"Male"	0.461538461538462	0.519230769230769
"s6209"	"no.change"	0.385	30	"Male"	0.384615384615385	0.538461538461538
"s6210"	"no.change"	0.404	43	"Female"	0.403846153846154	0.673076923076923
"s6211"	"no.change"	0.346	24	"Male"	0.346153846153846	0.442307692307692
"s6218"	"increase"	0.808	47	"Female"	0.576923076923077	0.673076923076923
"s6219"	"increase"	0.923	29	"Male"	0.653846153846154	0.596153846153846
"s6221"	"increase"	0.385	46	"Female"	0.269230769230769	0.288461538461538
"s6222"	"decrease"	0.308	28	"Male"	0.5	0.442307692307692
"s6223"	"decrease"	0.423	62	"Male"	0.692307692307692	0.769230769230769
"s6225"	"decrease"	0.327	23	"Male"	0.557692307692308	0.269230769230769
"s6227"	"no.change"	0.327	18	"Female"	0.326923076923077	0.423076923076923
"s6228"	"decrease"	0.423	34	"Female"	0.692307692307692	0.538461538461538
"s6231"	"no.change"	0.577	35	"Male"	0.576923076923077	0.538461538461538
"s6232"	"no.change"	0.673	23	"Female"	0.673076923076923	0.615384615384615
"s6233"	"no.change"	0.404	26	"Female"	0.403846153846154	0.115384615384615
"s6235"	"no.change"	0.442	28	"Female"	0.442307692307692	0.211538461538462
"s6236"	"no.change"	0.442	24	"Female"	0.442307692307692	0
"s6237"	"no.change"	0.404	27	"Male"	0.403846153846154	0.0961538461538462
"s6238"	"no.change"	0.442	24	"Male"	0.442307692307692	0.596153846153846
"s6240"	"no.change"	0.673	23	"Male"	0.673076923076923	0.557692307692308
"s6241"	"no.change"	0.135	32	"Female"	0.134615384615385	0.0961538461538462
"s6243"	"no.change"	0.596	44	"Female"	0.596153846153846	0.634615384615385
"s6244"	"no.change"	0.519	33	"Male"	0.519230769230769	0.634615384615385
"s6247"	"no.change"	0.423	19	"Male"	0.423076923076923	0.365384615384615
"s6248"	"no.change"	0.481	48	"Female"	0.480769230769231	0.461538461538462
"s6251"	"increase"	0.827	31	"Male"	0.596153846153846	0.692307692307692
"s6253"	"increase"	0.558	33	"Male"	0.403846153846154	0.5
"s6254"	"increase"	0.827	39	"Female"	0.596153846153846	0.923076923076923
"s6255"	"increase"	0.673	35	"Male"	0.480769230769231	0.711538461538462
"s6256"	"increase"	0.808	37	"Female"	0.576923076923077	0.653846153846154
"s6258"	"increase"	0.827	25	"Male"	0.596153846153846	0.461538461538462
"s6259"	"increase"	0.942	31	"Male"	0.673076923076923	1
"s6260"	"increase"	0.885	36	"Female"	0.634615384615385	0.865384615384615
"s6261"	"increase"	0.673	31	"Male"	0.480769230769231	0.5
"s6262"	"increase"	0.673	27	"Male"	0.480769230769231	0.403846153846154
"s6263"	"increase"	0.654	35	"Male"	0.461538461538462	0.403846153846154
"s6264"	"increase"	0.962	24	"Female"	0.692307692307692	0.788461538461538
"s6265"	"decrease"	0.269	34	"Male"	0.461538461538462	0.230769230769231
"s6266"	"decrease"	0.212	30	"Male"	0.346153846153846	0.442307692307692
"s6267"	"decrease"	0.231	62	"Male"	0.384615384615385	0.307692307692308
"s6268"	"decrease"	0.25	40	"Male"	0.423076923076923	0.0576923076923077
"s6271"	"decrease"	0.423	47	"Male"	0.692307692307692	0.730769230769231
"s6273"	"decrease"	0.423	24	"Male"	0.692307692307692	0.730769230769231
"s6274"	"decrease"	0.385	50	"Female"	0.653846153846154	0.519230769230769
"s6279"	"decrease"	0.327	22	"Male"	0.557692307692308	0.673076923076923
"s6280"	"no.change"	0.654	36	"Male"	0.653846153846154	0.538461538461538
"s6282"	"increase"	0.673	43	"Male"	0.480769230769231	0.384615384615385
"s6284"	"increase"	0.538	27	"Male"	0.384615384615385	0.384615384615385
"s6286"	"decrease"	0.269	32	"Male"	0.442307692307692	0.153846153846154
"s6287"	"decrease"	0.346	23	"Female"	0.576923076923077	0.5
"s6290"	"decrease"	0.25	22	"Male"	0.423076923076923	0.365384615384615
"s6291"	"no.change"	0.692	35	"Female"	0.692307692307692	0.634615384615385
"s6293"	"no.change"	0.231	34	"Female"	0.230769230769231	0.134615384615385
"s6295"	"no.change"	0.5	28	"Male"	0.5	0.307692307692308
"s6296"	"no.change"	0.423	57	"Female"	0.423076923076923	0.384615384615385
"s6297"	"no.change"	0.288	66	"Male"	0.288461538461538	0.192307692307692
"s6298"	"increase"	0.865	37	"Male"	0.615384615384615	0.961538461538462
"s6473"	"no.change"	0.481	26	"Female"	0.480769230769231	0.403846153846154
"s6474"	"increase"	0.596	34	"Female"	0.423076923076923	0.423076923076923
"s6475"	"decrease"	0.327	28	"Female"	0.557692307692308	0.25
"s6476"	"decrease"	0.365	30	"Female"	0.615384615384615	0.557692307692308
"s6478"	"decrease"	0.327	50	"Female"	0.538461538461538	0.557692307692308
"s6479"	"decrease"	0.25	22	"Female"	0.403846153846154	0.442307692307692
"s6480"	"no.change"	0.288	37	"Female"	0.288461538461538	0.0576923076923077
"s6481"	"no.change"	0.442	29	"Female"	0.442307692307692	0.615384615384615
"s6489"	"decrease"	0.365	21	"Male"	0.615384615384615	0.384615384615385
"s6491"	"no.change"	0.558	31	"Male"	0.557692307692308	0
"s6492"	"no.change"	0.25	31	"Male"	0.25	0.192307692307692
"s6495"	"decrease"	0.154	23	"Male"	0.25	0
"s6497"	"increase"	0.192	31	"Female"	0.134615384615385	0.211538461538462
"s6500"	"decrease"	0.288	31	"Female"	0.480769230769231	0.365384615384615
"s6503"	"no.change"	0.692	43	"Male"	0.692307692307692	0.788461538461538
"s6504"	"decrease"	0.327	20	"Female"	0.557692307692308	0.519230769230769
"s6505"	"no.change"	0.154	52	"Male"	0.153846153846154	0
"s6508"	"no.change"	0.442	37	"Female"	0.442307692307692	0.365384615384615
"s6510"	"increase"	0.288	49	"Female"	0.211538461538462	0.0576923076923077
"s6512"	"increase"	0.519	33	"Male"	0.365384615384615	0.365384615384615
"s6513"	"increase"	0.404	29	"Female"	0.288461538461538	0.346153846153846
"s6514"	"increase"	0.692	25	"Male"	0.5	0.942307692307692
"s6515"	"increase"	0.788	38	"Male"	0.557692307692308	0.403846153846154
"s6516"	"increase"	0.923	22	"Female"	0.653846153846154	0.865384615384615
"s6517"	"increase"	0.885	29	"Male"	0.634615384615385	0.673076923076923
"s6519"	"increase"	0.596	31	"Male"	0.423076923076923	0.557692307692308
"s6520"	"increase"	0.615	26	"Female"	0.442307692307692	0.461538461538462
"s6521"	"increase"	0.808	25	"Female"	0.576923076923077	0.576923076923077
"s6522"	"increase"	0.827	29	"Female"	0.596153846153846	0.692307692307692
"s6524"	"increase"	0.827	39	"Male"	0.596153846153846	0.538461538461538
"s6525"	"increase"	0.788	31	"Female"	0.557692307692308	0.788461538461538
"s6528"	"increase"	0.923	36	"Female"	0.653846153846154	0.903846153846154
"s6529"	"increase"	0.654	28	"Female"	0.461538461538462	0.0192307692307692
"s6531"	"increase"	0.962	37	"Male"	0.692307692307692	0.653846153846154
"s6532"	"increase"	0.346	32	"Male"	0.25	0.115384615384615
"s6533"	"increase"	0.827	20	"Female"	0.596153846153846	1
"s6534"	"increase"	0.615	36	"Male"	0.442307692307692	0.423076923076923
"s6535"	"increase"	0.808	36	"Male"	0.576923076923077	0.884615384615385
"s6536"	"increase"	0.731	20	"Female"	0.519230769230769	0.192307692307692
"s6537"	"increase"	0.923	26	"Female"	0.653846153846154	1
"s6538"	"increase"	0.423	20	"Male"	0.307692307692308	0.403846153846154
"s6542"	"increase"	0.404	22	"Male"	0.288461538461538	0.442307692307692
"s6543"	"increase"	0.885	23	"Male"	0.634615384615385	0.711538461538462
"s6544"	"increase"	0.673	24	"Female"	0.480769230769231	0.615384615384615
"s6546"	"increase"	0.827	39	"Male"	0.596153846153846	0.653846153846154
"s6547"	"increase"	0.538	29	"Female"	0.384615384615385	0.5
"s6548"	"increase"	0.75	23	"Male"	0.538461538461538	0.384615384615385
"s6549"	"increase"	0.558	28	"Female"	0.403846153846154	0.365384615384615
"s6550"	"increase"	0.923	40	"Male"	0.653846153846154	0.923076923076923
"s6551"	"increase"	0.75	28	"Male"	0.538461538461538	0.846153846153846
"s6552"	"increase"	0.731	26	"Male"	0.519230769230769	0.423076923076923
"s6553"	"increase"	0.731	29	"Male"	0.519230769230769	0.461538461538462
"s6555"	"increase"	0.923	31	"Male"	0.653846153846154	0.807692307692308
"s6556"	"increase"	0.75	34	"Female"	0.538461538461538	0.653846153846154
"s6557"	"increase"	0.808	51	"Female"	0.576923076923077	0.884615384615385
"s6558"	"increase"	0.885	27	"Male"	0.634615384615385	0.826923076923077
"s6561"	"increase"	0.731	28	"Male"	0.5	0.653846153846154
"s6562"	"increase"	0.885	29	"Male"	0.634615384615385	0.884615384615385
