"ID","income","languageStatus","gender","education"
"s164",23984.86,"L2","M","BA"
"s17",23837.45,"L1","F","BA"
"s44",23698.52,"L2","M","BA"
"s84",23487.8,"L2","F","MA"
"s76",23424.13,"L1","F","BA"
"s14",23415.72,"L2","M","BA"
"s100",23001.89,"L2","M","BA"
"s196",22950.07,"L2","F","BA"
"s74",21463.86,"L1","M","BA"
"s106",21317.39,"L2","F","BA"
"s108",20287.37,"L2","F","BA"
"s114",19777.34,"L2","F","PhD"
"s156",18634.86,"L1","F","BA"
"s55",18103.52,"L1","F","BA"
"s142",17254.3,"L2","F","MA"
"s83",16834.64,"L1","F","BA"
